2019-12-06 09:56:03.1506 Info Loading Cardigann definition /app/Jackett/Definitions/majomparade.yml 
2019-12-06 09:56:03.1542 Info Loading Cardigann definition /app/Jackett/Definitions/thepiratebay.yml 
2019-12-06 09:56:03.1589 Info Loading Cardigann definition /app/Jackett/Definitions/kickasstorrent-kathow.yml 
2019-12-06 09:56:03.1589 Info Loading Cardigann definition /app/Jackett/Definitions/arabafenice.yml 
2019-12-06 09:56:03.1643 Info Loading Cardigann definition /app/Jackett/Definitions/immortuos.yml 
2019-12-06 09:56:03.1643 Info Loading Cardigann definition /app/Jackett/Definitions/ccfbits.yml 
2019-12-06 09:56:03.1695 Info Loading Cardigann definition /app/Jackett/Definitions/torrent9clone.yml 
2019-12-06 09:56:03.1717 Info Loading Cardigann definition /app/Jackett/Definitions/rptorrents.yml 
2019-12-06 09:56:03.1717 Info Loading Cardigann definition /app/Jackett/Definitions/oxtorrent.yml 
2019-12-06 09:56:03.1758 Info Loading Cardigann definition /app/Jackett/Definitions/casatorrent.yml 
2019-12-06 09:56:03.1795 Info Loading Cardigann definition /app/Jackett/Definitions/losslessclub.yml 
2019-12-06 09:56:03.1795 Info Loading Cardigann definition /app/Jackett/Definitions/unionfansub.yml 
2019-12-06 09:56:03.1845 Info Loading Cardigann definition /app/Jackett/Definitions/shareisland.yml 
2019-12-06 09:56:03.1889 Info Loading Cardigann definition /app/Jackett/Definitions/estrenosdtl.yml 
2019-12-06 09:56:03.1889 Info Loading Cardigann definition /app/Jackett/Definitions/idope.yml 
2019-12-06 09:56:03.1923 Info Loading Cardigann definition /app/Jackett/Definitions/myspleen.yml 
2019-12-06 09:56:03.1923 Info Loading Cardigann definition /app/Jackett/Definitions/cinemageddon.yml 
2019-12-06 09:56:03.1961 Info Loading Cardigann definition /app/Jackett/Definitions/theaudioscene.yml 
2019-12-06 09:56:03.1983 Info Loading Cardigann definition /app/Jackett/Definitions/thetorrents.yml 
2019-12-06 09:56:03.2020 Info Loading Cardigann definition /app/Jackett/Definitions/icetorrent.yml 
2019-12-06 09:56:03.2053 Info Loading Cardigann definition /app/Jackett/Definitions/galeriens.yml 
2019-12-06 09:56:03.2152 Info Loading Cardigann definition /app/Jackett/Definitions/hachede.yml 
2019-12-06 09:56:03.2190 Info Loading Cardigann definition /app/Jackett/Definitions/crazyhd.yml 
2019-12-06 09:56:03.2253 Info Loading Cardigann definition /app/Jackett/Definitions/libranet.yml 
2019-12-06 09:56:03.2253 Info Loading Cardigann definition /app/Jackett/Definitions/newstudio.yml 
2019-12-06 09:56:03.2292 Info Loading Cardigann definition /app/Jackett/Definitions/awesomehd.yml 
2019-12-06 09:56:03.2292 Info Loading Cardigann definition /app/Jackett/Definitions/soundpark.yml 
2019-12-06 09:56:03.2325 Info Loading Cardigann definition /app/Jackett/Definitions/hdturk.yml 
2019-12-06 09:56:03.2369 Info Loading Cardigann definition /app/Jackett/Definitions/metal-iplay-ro.yml 
2019-12-06 09:56:03.2386 Info Loading Cardigann definition /app/Jackett/Definitions/theshinning.yml 
2019-12-06 09:56:03.2413 Info Loading Cardigann definition /app/Jackett/Definitions/btschool.yml 
2019-12-06 09:56:03.2413 Info Loading Cardigann definition /app/Jackett/Definitions/tfile.yml 
2019-12-06 09:56:03.2918 Info Loading Cardigann definition /app/Jackett/Definitions/anirena.yml 
2019-12-06 09:56:03.2918 Info Loading Cardigann definition /app/Jackett/Definitions/theshow.yml 
2019-12-06 09:56:03.2975 Info Loading Cardigann definition /app/Jackett/Definitions/audiobookbay.yml 
2019-12-06 09:56:03.3059 Info Loading Cardigann definition /app/Jackett/Definitions/bigfangroup.yml 
2019-12-06 09:56:03.3103 Info Loading Cardigann definition /app/Jackett/Definitions/greekteam.yml 
2019-12-06 09:56:03.3141 Info Loading Cardigann definition /app/Jackett/Definitions/twilight.yml 
2019-12-06 09:56:03.3165 Info Loading Cardigann definition /app/Jackett/Definitions/elittracker.yml 
2019-12-06 09:56:03.3202 Info Loading Cardigann definition /app/Jackett/Definitions/spacetorrent.yml 
2019-12-06 09:56:03.3219 Info Loading Cardigann definition /app/Jackett/Definitions/hdtorrentsit.yml 
2019-12-06 09:56:03.3245 Info Loading Cardigann definition /app/Jackett/Definitions/mvgroupmain.yml 
2019-12-06 09:56:03.3245 Info Loading Cardigann definition /app/Jackett/Definitions/thehorrorcharnel.yml 
2019-12-06 09:56:03.3302 Info Loading Cardigann definition /app/Jackett/Definitions/bit-titan.yml 
2019-12-06 09:56:03.3357 Info Loading Cardigann definition /app/Jackett/Definitions/newretro.yml 
2019-12-06 09:56:03.3387 Info Loading Cardigann definition /app/Jackett/Definitions/funkytorrents.yml 
2019-12-06 09:56:03.3387 Info Loading Cardigann definition /app/Jackett/Definitions/trezzor.yml 
2019-12-06 09:56:03.3436 Info Loading Cardigann definition /app/Jackett/Definitions/magico.yml 
2019-12-06 09:56:03.3518 Info Loading Cardigann definition /app/Jackett/Definitions/demonoid.yml 
2019-12-06 09:56:03.3645 Info Loading Cardigann definition /app/Jackett/Definitions/sukebei-pantsu.yml 
2019-12-06 09:56:03.3645 Info Loading Cardigann definition /app/Jackett/Definitions/baibako.yml 
2019-12-06 09:56:03.3693 Info Loading Cardigann definition /app/Jackett/Definitions/hdchina.yml 
